,Sleep_quality,Time_in_bed,Activity_steps,Start_date,Start_time,Start_Dayofweek,Ate_late,Drank_coffee,Stressful_day,Worked_out,Activity_steps_log,Sleep_quality_log
190,67,363,6411,2018-05-09,12,Wednesday,1,1,0,1,8.765770543987257,4.204692619390966
191,87,495,1635,2018-05-10,10,Thursday,0,1,0,0,7.399398083331354,4.465908118654584
192,86,489,11228,2018-05-11,10,Friday,0,1,0,0,9.326165937481774,4.454347296253507
193,96,593,13262,2018-05-12,11,Saturday,1,1,0,0,9.492658081928813,4.564348191467836
194,85,472,5054,2018-05-13,10,Sunday,1,1,0,0,8.52793528794814,4.442651256490317
195,43,240,7508,2018-05-14,11,Monday,0,1,0,0,8.9237243977064,3.7612001156935624
196,80,433,4778,2018-05-15,11,Tuesday,0,0,0,0,8.471777327885755,4.382026634673881
197,85,474,12650,2018-05-16,10,Wednesday,0,1,0,0,9.445412494155667,4.442651256490317
198,59,349,8471,2018-05-17,13,Thursday,1,1,1,0,9.044403844431551,4.07753744390572
199,62,353,18084,2018-05-18,12,Friday,0,1,0,0,9.802782848414497,4.127134385045092
200,75,409,9431,2018-05-19,12,Saturday,1,1,1,0,9.151757414543885,4.31748811353631
201,85,460,8038,2018-05-20,10,Sunday,1,1,0,0,8.991935575009146,4.442651256490317
202,71,415,8432,2018-05-21,11,Monday,0,0,1,0,9.039789270781144,4.2626798770413155
203,80,446,11277,2018-05-22,11,Tuesday,1,1,0,0,9.330520532232288,4.382026634673881
204,65,462,8077,2018-05-23,9,Wednesday,0,1,1,0,8.996775795442296,4.174387269895637
205,76,435,9123,2018-05-24,10,Thursday,0,0,1,0,9.118553976345474,4.330733340286331
207,41,260,11904,2018-05-26,13,Saturday,0,0,1,0,9.384629757072872,3.713572066704308
208,66,365,7636,2018-05-27,11,Sunday,0,1,1,0,8.940629184845639,4.189654742026425
209,94,532,8025,2018-05-29,9,Tuesday,1,1,1,0,8.990316947998217,4.543294782270004
210,85,478,8742,2018-05-30,10,Wednesday,0,1,1,0,9.07589427542326,4.442651256490317
211,36,288,11191,2018-05-31,14,Thursday,0,1,1,0,9.322865162818028,3.58351893845611
212,53,292,13916,2018-06-01,13,Friday,0,1,0,0,9.540794536271832,3.970291913552122
213,70,399,8078,2018-06-02,11,Saturday,0,1,0,0,8.996899596123358,4.248495242049359
214,87,476,2671,2018-06-03,9,Sunday,0,1,0,0,7.890208213109961,4.465908118654584
215,81,449,5740,2018-06-04,10,Monday,0,0,1,0,8.655214489313613,4.394449154672439
216,59,326,7295,2018-06-05,12,Tuesday,0,1,1,0,8.894944460956886,4.07753744390572
217,96,531,4984,2018-06-06,8,Wednesday,0,1,1,0,8.51398806046729,4.564348191467836
218,60,383,12628,2018-06-07,11,Thursday,0,1,1,0,9.443671849677882,4.0943445622221
219,78,436,11300,2018-06-08,10,Friday,0,0,1,0,9.332558004700433,4.356708826689592
220,66,371,4732,2018-06-09,11,Saturday,0,1,1,0,8.462103225098277,4.189654742026425
221,67,417,5675,2018-06-10,10,Sunday,0,0,1,0,8.643825842349603,4.204692619390966
222,79,435,9877,2018-06-11,10,Monday,0,0,1,0,9.197964100908127,4.3694478524670215
223,67,371,7116,2018-06-12,11,Tuesday,0,1,1,0,8.870101048785726,4.204692619390966
224,76,425,7881,2018-06-13,11,Wednesday,0,1,0,0,8.97221007835365,4.330733340286331
226,74,413,3048,2018-06-17,10,Sunday,0,0,1,0,8.022240916806537,4.30406509320417
227,70,384,8288,2018-06-18,12,Monday,0,0,0,0,9.022563964499264,4.248495242049359
228,88,489,16960,2018-06-19,9,Tuesday,0,1,1,0,9.738612909345894,4.477336814478207
229,87,471,8515,2018-06-20,9,Wednesday,0,0,1,1,9.049584593096789,4.465908118654584
230,75,414,5432,2018-06-21,10,Thursday,0,0,1,0,8.600062669238532,4.31748811353631
231,62,355,14389,2018-06-22,11,Friday,0,0,1,1,9.574219304763417,4.127134385045092
232,34,234,8876,2018-06-23,14,Saturday,0,1,1,0,9.091106284052485,3.5263605246161616
233,95,515,6065,2018-06-24,8,Sunday,0,0,1,0,8.71028982137815,4.553876891600541
